Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.3025,-0.565842526,-1.731255867,2.297098393,296.1491329,1.352630227,2792.646051
0.303,-0.184901122,-1.990098565,2.174999687,304.5272315,1.289941679,2792.641159
0.3035,0.183727743,-2.167181299,1.983453557,312.9043704,1.239234333,2792.026839
0.304,0.559295845,-2.302438477,1.743142632,321.2793437,1.281639721,2791.363667
0.3045,0.9300148,-2.398541295,1.468526495,329.6531121,1.344045771,2791.260109
0.305,1.251718927,-2.412179815,1.160460888,338.0269416,1.288430528,2791.193835
0.3055,1.541725127,-2.360877634,0.819152507,346.4004083,1.368904723,2791.260827
0.306,1.826644551,-2.271098219,0.444453669,354.7750966,1.398192497,2791.917835
0.3065,2.052217374,-2.110982113,0.058764739,3.151741627,1.335729118,2792.401125
0.307,2.21330362,-1.90638641,-0.30691721,11.52882497,1.27151352,2792.206024
0.3075,2.337724657,-1.649202798,-0.688521859,19.90481156,1.30523847,2791.844711
0.308,2.412911601,-1.369476751,-1.043434849,28.27999045,1.290000577,2791.580603
0.3085,2.401161874,-1.052471979,-1.348689895,36.65395997,1.242999943,2790.981286
0.309,2.332423775,-0.692894726,-1.639529049,45.02622139,1.354584891,2790.725202
0.3095,2.230292577,-0.317055845,-1.913236732,53.39889639,1.352056002,2791.05433
0.31,2.044807762,0.062068343,-2.106876105,61.77249411,1.344126401,2791.330192
0.3105,1.821627615,0.434100046,-2.255727661,70.14682889,1.342778762,2791.557397
0.311,1.556975521,0.813175279,-2.370150801,78.52202099,1.377938004,2791.967106
0.3115,1.266483353,1.150819694,-2.417303047,86.89825045,1.271378289,2791.995741
0.312,0.933071924,1.444645147,-2.377717072,95.27331653,1.251645697,2791.345464
0.3125,0.567228602,1.739220433,-2.306449036,103.646605,1.32470263,2790.976922
0.313,0.187887263,1.985687621,-2.173574884,112.019366,1.286850017,2790.796359
0.3135,-0.183387497,2.158864311,-1.975476814,120.3913208,1.313175162,2790.553493
0.314,-0.564383027,2.297811163,-1.733428136,128.7631144,1.366684008,2790.738042
0.3145,-0.931152026,2.394155816,-1.46300379,137.13626,1.40797425,2791.433491
0.315,-1.250882935,2.412896139,-1.162013203,145.5113632,1.300278204,2791.776782
0.3155,-1.541430357,2.354105836,-0.812675479,153.8865075,1.330885393,2791.706902
0.316,-1.833017254,2.279697473,-0.446680219,162.2615935,1.298443399,2791.625884
0.3165,-2.045275938,2.109204227,-0.063928289,170.6358352,1.251328313,2791.117261
0.317,-2.205390032,1.897170356,0.308219677,179.008049,1.252870026,2790.360559
0.3175,-2.336086517,1.642047749,0.694038768,187.3784528,1.336678274,2790.058065
0.318,-2.406171868,1.362470052,1.043701816,195.748954,1.356591114,2790.312176
0.3185,-2.400211669,1.051087995,1.349123674,204.1202517,1.322407141,2790.492135
0.319,-2.330454988,0.687870755,1.642584233,212.4922567,1.421630049,2791.022002
0.3195,-2.23448829,0.319496512,1.914991777,220.8664442,1.333062936,2791.612367
0.32,-2.040941017,-0.05763873,2.098579747,229.2411727,1.279894489,2791.444535
0.3205,-1.811781661,-0.437018392,2.248800053,237.6147943,1.274492858,2790.959651
0.321,-1.550301192,-0.819247936,2.369549127,245.9871568,1.322579148,2790.700979
0.3215,-1.25805402,-1.150690053,2.408744073,254.3589917,1.27303412,2790.433797
0.322,-0.930449254,-1.44807569,2.378524944,262.7296637,1.304956856,2790.070724
0.3225,-0.56568935,-1.742300139,2.307989489,271.1001548,1.410963543,2790.446384
0.323,-0.192310948,-1.980224752,2.1725357,279.4725063,1.334905873,2790.986332
0.3235,0.180730437,-2.150907757,1.970177319,287.8457035,1.34165588,2791.15701
0.324,0.567394495,-2.291113236,1.723718741,296.2194404,1.333436738,2791.319734
0.3245,0.935476617,-2.390567594,1.455090977,304.5934571,1.310827799,2791.317657
0.325,1.251134782,-2.402369509,1.151234727,312.9668134,1.234268505,2790.782678
0.3255,1.548953411,-2.355880381,0.80692697,321.3381448,1.309972295,2790.239375
0.326,1.83763776,-2.282387128,0.444749368,329.7088076,1.338644356,2790.253996
0.3265,2.036683758,-2.104494708,0.06781095,338.0795633,1.290061046,2790.163066
0.327,2.199529973,-1.891501362,-0.308028611,346.4499521,1.36970673,2790.238264
0.3275,2.329231855,-1.633442518,-0.695789337,354.8215953,1.402117298,2790.915914
0.328,2.398690768,-1.352141473,-1.046549296,3.195323515,1.345747941,2791.469466
0.3285,2.388738984,-1.038380432,-1.350358552,11.56970513,1.270033751,2791.316049
0.329,2.334659545,-0.683875844,-1.650783701,19.94315932,1.334922903,2791.102146
0.3295,2.232580853,-0.31832986,-1.914250993,28.31635078,1.276349731,2790.921022
0.33,2.033841745,0.055793756,-2.089635501,36.68830874,1.264911347,2790.363186
0.3305,1.807463763,0.440160256,-2.247624019,45.05885452,1.337449235,2790.129967
0.331,1.540720124,0.817925825,-2.358645948,53.42962592,1.365047559,2790.434124
0.3315,1.2473675,1.150950855,-2.398318355,61.80149936,1.344420374,2790.778381
0.332,0.918801673,1.451660339,-2.370462013,70.17429799,1.365063949,2791.124422
0.3325,0.562887353,1.750443301,-2.313330654,78.54846879,1.38563006,2791.693364
0.333,0.191973206,1.977808084,-2.16978129,86.92392253,1.264722811,2791.726662
0.3335,-0.1808666,2.143249044,-1.962382445,95.29819692,1.268166714,2791.12812
0.334,-0.571305961,2.291190082,-1.719884121,103.670979,1.31910743,2790.817356
0.3345,-0.933995436,2.378629954,-1.444634517,112.0433346,1.311805765,2790.740147
0.335,-1.251361537,2.393609973,-1.142248436,120.4153039,1.297464477,2790.546904
0.3355,-1.556942923,2.354368738,-0.797425815,128.7870923,1.400711879,2790.829896
0.336,-1.838498027,2.280674368,-0.442176341,137.1607807,1.389650997,2791.610331
0.3365,-2.030185565,2.098524387,-0.068338822,145.5362728,1.310151815,2791.90927
0.337,-2.192357909,1.882383609,0.309974301,153.9118965,1.326319472,2791.868404
0.3375,-2.32764901,1.629818818,0.697830192,162.2875337,1.31974777,2791.878086
0.338,-2.388476906,1.34422744,1.044249466,170.6628628,1.270005532,2791.585539
0.3385,-2.379194772,1.027774013,1.351420759,179.0367561,1.265969086,2791.002149
0.339,-2.335490611,0.676080447,1.659410164,187.4093673,1.362198668,2790.910422
0.3395,-2.230651974,0.317357076,1.913294897,195.7825796,1.333055717,2791.179652
0.34,-2.031666005,-0.05436676,2.086032765,204.1563254,1.339493086,2791.329051
0.3405,-1.799857659,-0.442258058,2.242115718,212.5308824,1.394141942,2791.806885
0.341,-1.536394926,-0.818323466,2.354718392,220.9072351,1.351661824,2792.353047
0.3415,-1.240968652,-1.149664702,2.390633354,229.2843958,1.280997628,2792.29435
0.342,-0.907846234,-1.455953985,2.363800219,237.6608162,1.317536738,2792.050731
0.3425,-0.556168404,-1.757370754,2.313539158,246.0369147,1.321240572,2792.021645
0.343,-0.195087988,-1.974849403,2.169937392,254.412709,1.273320387,2791.755491
0.3435,0.179160651,-2.142443548,1.963282897,262.7874369,1.319566686,2791.478559
0.344,0.571356,-2.287522734,1.716166734,271.162274,1.402740823,2791.89527
0.3445,0.931586861,-2.36742401,1.435837149,279.5389806,1.350964298,2792.48413
0.345,1.252776174,-2.387621534,1.134845361,287.9167504,1.322374157,2792.644578
0.3455,1.559391536,-2.349454239,0.790062703,296.2949201,1.36441386,2792.876997
0.346,1.841624174,-2.276718504,0.435094331,304.6738996,1.301130685,2792.996591
0.3465,2.03171478,-2.10439971,0.072684929,313.0523851,1.268549352,2792.60171
0.347,2.193682699,-1.884504054,-0.309178645,321.429507,1.301175111,2792.204036
0.3475,2.327558839,-1.631341009,-0.69621783,329.8060744,1.355502568,2792.271425
0.348,2.373018305,-1.333100287,-1.039918019,338.183218,1.316268507,2792.421256
0.3485,2.377244128,-1.020372112,-1.356872017,346.5607102,1.375491011,2792.679308
0.349,2.332145853,-0.671405347,-1.660740507,354.9397278,1.396802497,2793.371259
0.3495,2.224624866,-0.312476646,-1.91214822,3.320587632,1.30950701,2793.713114
0.35,2.038585673,0.05002802,-2.088613694,11.70146384,1.295608525,2793.512357
0.3505,1.79891204,0.441289642,-2.240201682,20.08170885,1.318683176,2793.358681
0.351,1.539549263,0.813704245,-2.353253508,28.46174746,1.3202155,2793.336535
0.3515,1.231511361,1.145085628,-2.376596989,36.84147904,1.272271359,2793.065371
0.352,0.903690979,1.462448783,-2.366139762,45.2203835,1.365964577,2793.038029
0.3525,0.55638285,1.757603031,-2.31398588,53.60021378,1.366524807,2793.517245
0.353,0.191809192,1.972795818,-2.164605011,61.98134275,1.338472582,2793.852239
0.3535,-0.178026597,2.142674655,-1.964648058,70.36320251,1.343073937,2794.062528
0.354,-0.568405547,2.284706103,-1.716300556,78.74582201,1.357728708,2794.376905
0.3545,-0.925692904,2.367377016,-1.441684111,87.12924016,1.301084562,2794.467509
0.355,-1.249994847,2.374868664,-1.124873817,95.51213755,1.266586973,2794.068606
0.3555,-1.565403756,2.351267919,-0.785864163,103.8938582,1.340074381,2793.87608
0.356,-1.839906981,2.275698188,-0.435791207,112.2756229,1.309276798,2793.912374
0.3565,-2.029342933,2.101287369,-0.071944436,120.6572281,1.320521889,2793.844375
0.357,-2.197107126,1.888808347,0.308298779,129.0390156,1.370176327,2794.102835
0.3575,-2.32091936,1.631264093,0.689655267,137.4222415,1.39397183,2794.75766
0.358,-2.37401254,1.340053349,1.033959191,145.8072778,1.31660926,2795.128802
0.3585,-2.365896002,1.011147727,1.354748274,154.1926264,1.321530817,2795.112017
0.359,-2.336027045,0.670520841,1.665506205,162.5780671,1.33860845,2795.212384
0.3595,-2.2264474,0.315582082,1.910865319,170.9636167,1.268509653,2795.028779
0.36,-2.031693454,-0.051029538,2.082722991,179.3480036,1.294910108,2794.609013
0.3605,-1.808738467,-0.4388746,2.247613067,187.731734,1.355230246,2794.652419
0.361,-1.537849973,-0.80690584,2.344755813,196.1163666,1.378184168,2795.144264
0.3615,-1.237661074,-1.140342687,2.37800376,204.5023948,1.316483389,2795.431369
0.362,-0.89650435,-1.459057398,2.355561748,212.8889457,1.376332169,2795.709387
0.3625,-0.552187303,-1.758546446,2.310733749,221.2767648,1.337421337,2796.101104
0.363,-0.196873586,-1.973167684,2.170041269,229.6650273,1.278173814,2795.967814
0.3635,0.175873792,-2.139464431,1.963590639,238.0524111,1.307843553,2795.673864
0.364,0.565335346,-2.292097452,1.726762105,246.4393438,1.329387627,2795.653184
0.3645,0.919582453,-2.358046072,1.438463619,254.8263988,1.320522266,2795.701124
0.365,1.246012005,-2.37748845,1.131476445,263.2135487,1.328976799,2795.747239
0.3655,1.562886242,-2.34422947,0.781343228,271.6013358,1.404961156,2796.24698
0.366,1.840458042,-2.277987011,0.437528968,279.9909804,1.31901803,2796.696612
0.3665,2.031819715,-2.109165654,0.077345938,288.3809951,1.307678713,2796.625829
0.367,2.193580062,-1.889616683,-0.303963379,296.7707994,1.331216692,2796.619016
0.3675,2.327966461,-1.642538264,-0.685428197,305.1608073,1.325931274,2796.710332
0.368,2.362205452,-1.333322898,-1.028882553,313.5507733,1.277445526,2796.51356
0.3685,2.372571119,-1.020043911,-1.352527208,321.9398728,1.323266243,2796.300898
0.369,2.329736641,-0.665732562,-1.664004079,330.329096,1.373974905,2796.605553
0.3695,2.22763765,-0.318517553,-1.909120097,338.7194292,1.308459245,2796.833308
0.37,2.042319752,0.046907354,-2.089227106,347.1099914,1.354364769,2796.956639
0.3705,1.807751526,0.434755407,-2.242506933,355.5014201,1.355162455,2797.331084
0.371,1.548192323,0.801098172,-2.349290495,3.893820378,1.324595435,2797.547991
0.3715,1.231105098,1.135014151,-2.366119249,12.2862732,1.274055307,2797.330012
0.372,0.907530111,1.458613636,-2.366143747,20.67777823,1.320833148,2797.089814
0.3725,0.552086573,1.756595444,-2.308682017,29.06898224,1.305959332,2797.019769
