Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.367,2.19926876,-1.887101467,-0.312167292,356.765563,1.330269322,2793.660071
0.3675,2.33067837,-1.641546117,-0.689132253,5.146743491,1.340930595,2793.812892
0.368,2.367208713,-1.343117294,-1.024091419,13.52826323,1.29703889,2793.788577
0.3685,2.358219182,-1.018428829,-1.339790353,21.90942676,1.332053734,2793.716071
0.369,2.328278868,-0.678024485,-1.650254383,30.29085582,1.352277132,2793.939733
0.3695,2.216298435,-0.3190605,-1.897237935,38.67285685,1.29293864,2793.955083
0.37,2.030607401,0.05675493,-2.087362331,47.05431981,1.302722623,2793.703924
0.3705,1.806938883,0.441522194,-2.248461077,55.4353659,1.346440723,2793.738273
0.371,1.549215809,0.804830662,-2.354046471,63.81685723,1.322641296,2793.880404
0.3715,1.239624706,1.128082648,-2.367707354,72.19836874,1.294204036,2793.742946
0.372,0.905527026,1.44572517,-2.351252196,80.57947579,1.352842123,2793.766372
0.3725,0.569857989,1.744920222,-2.31477821,88.96115142,1.328464969,2793.974253
0.373,0.19078893,1.961066476,-2.151855407,97.34299503,1.291820937,2793.855859
0.3735,-0.183870288,2.146354396,-1.962484108,105.7242145,1.315291441,2793.665419
0.374,-0.568382695,2.294536007,-1.726153312,114.1052682,1.344291329,2793.75568
0.3745,-0.915368692,2.363180801,-1.447812109,122.4866966,1.305402237,2793.79391
0.375,-1.233871204,2.364723418,-1.130852214,130.8678556,1.311484105,2793.65603
0.3755,-1.55098842,2.340701249,-0.789712829,139.2489378,1.36240924,2793.823214
0.376,-1.825166224,2.271610612,-0.446444388,147.6307653,1.305704897,2793.960849
0.3765,-2.025111062,2.09229891,-0.067187849,156.0123511,1.296787955,2793.746686
0.377,-2.200694803,1.887220045,0.313474758,164.3933978,1.334412455,2793.684863
0.3775,-2.331708215,1.642935879,0.688772336,172.7746664,1.335152761,2793.829117
0.378,-2.366064877,1.343781182,1.022283696,181.1561635,1.295277621,2793.764374
0.3785,-2.358581926,1.017224949,1.341356977,189.5372504,1.334884954,2793.697408
0.379,-2.329948356,0.678699084,1.651249272,197.9186388,1.349495393,2793.921261
0.3795,-2.214078163,0.319314395,1.894763768,206.3005518,1.292446788,2793.918947
0.38,-2.030395098,-0.056643169,2.087038267,214.6819141,1.305211562,2793.678303
0.3805,-1.80773968,-0.443098512,2.250838193,223.0629199,1.348305642,2793.735937
0.381,-1.549518391,-0.80329467,2.35281306,231.4443935,1.316907275,2793.857335
0.3815,-1.239708366,-1.127605067,2.367313433,239.8257859,1.296405706,2793.700754
0.382,-0.904277086,-1.448012859,2.352289945,248.2068061,1.35591778,2793.752278
0.3825,-0.570920358,-1.744469742,2.3153901,256.5884544,1.325092763,2793.958566
0.383,-0.19124828,-1.959432748,2.150681028,264.9702099,1.290939599,2793.817255
