Time [ms],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
226.5004,1.037593665,-1.11834976,-0.393892164,277.1531398,1.030997946,2802.090019
227.0004,1.072279868,-0.892752872,-0.569656368,285.5557042,1.110005797,2799.740554
227.5004,1.12772921,-0.611749484,-0.739831039,293.9522063,1.166371074,2798.014284
228.0004,1.118393215,-0.32419116,-0.850605825,302.3439325,1.141702439,2796.430598
228.5004,1.10032513,-0.034228447,-0.915716514,310.731053,1.223921893,2795.110037
229.0004,1.079292789,0.266131008,-1.03137455,319.1154291,1.321517446,2794.625832
229.5004,0.993677882,0.56816812,-1.084080451,327.4992243,1.312982336,2794.557972
230.0004,0.871046512,0.811973989,-1.095243361,335.8830915,1.38864395,2794.804685
230.5004,0.722037673,1.046018396,-1.125124459,344.2695212,1.626603553,2796.520098
231.0004,0.532744145,1.217586434,-1.162530487,352.6628634,1.525767975,2798.886814
231.5004,0.344819069,1.286648267,-1.117763308,1.061832233,1.408420788,2800.243729
232.0004,0.125907728,1.351541425,-1.078051012,9.464257735,1.510492602,2801.532608
232.5004,-0.108199258,1.48766536,-1.034054653,17.87176932,1.565846449,2803.562931
233.0004,-0.295502078,1.496405537,-0.92842705,26.28503951,1.381069938,2804.997449
233.5004,-0.462854632,1.497850922,-0.787520851,34.70088675,1.379474966,2805.564698
234.0004,-0.634784276,1.579945532,-0.61685561,43.11873111,1.445816718,2806.435356
234.5004,-0.764318698,1.588522923,-0.437187843,51.5388994,1.250446751,2806.706525
235.0004,-0.825878483,1.495467504,-0.223254829,59.95788064,1.212908916,2805.888073
235.5004,-0.912512584,1.436133901,0.015565033,68.37447072,1.303532992,2805.312503
236.0004,-1.015456903,1.337979876,0.208959901,76.78959675,1.179325429,2804.578019
236.5004,-1.040339907,1.120340265,0.39554709,85.20061814,1.021900318,2802.522843
237.0004,-1.073636095,0.893192244,0.569861007,93.60438149,1.106336528,2800.115354
237.5004,-1.129587792,0.611937893,0.741201882,102.0019892,1.16926488,2798.386847
238.0004,-1.119335126,0.324518991,0.851059024,110.3948253,1.133760327,2796.78104
238.5004,-1.101479349,0.034380227,0.917355138,118.7829816,1.236042067,2795.481389
239.0004,-1.080029022,-0.263901516,1.030679108,127.1686386,1.332496857,2795.10678
239.5004,-0.994880657,-0.568565116,1.086118411,135.5539317,1.302102471,2795.041545
240.0004,-0.872192985,-0.811145218,1.096380587,143.9391416,1.386653318,2795.230007
240.5004,-0.722987287,-1.045113182,1.124807264,152.326837,1.627901522,2796.943775
241.0004,-0.533872945,-1.217022828,1.163188036,160.7214105,1.514124777,2799.263798
241.5004,-0.345359152,-1.287993691,1.119097053,169.1214191,1.411708965,2800.58305
242.0004,-0.12691437,-1.347614094,1.078343615,177.5249043,1.512465232,2801.897824
242.5004,0.106603377,-1.486593248,1.033927805,185.9334866,1.55607937,2803.893201
243.0004,0.294521139,-1.497043965,0.929498753,194.3476732,1.384261255,2805.29821
243.5004,0.46185624,-1.49879453,0.788414239,202.7644922,1.387593595,2805.919509
244.0004,0.632136323,-1.578339887,0.61841395,211.1834134,1.431780191,2806.76401
244.5004,0.764124714,-1.591165221,0.438204583,219.6043986,1.241928634,2806.930933
245.0004,0.824935831,-1.496403958,0.225332542,228.0239255,1.202431765,2806.024312
245.5004,0.909636,-1.436033129,-0.013945779,236.4407823,1.293986961,2805.355445
246.0004,1.014524136,-1.339153482,-0.207998485,244.8559608,1.182094142,2804.589242
