Time [ms],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
219,-1.437833789,-0.03738914,0.609401702,11.82461622,0.950270746,2763.833376
219.5,-1.343677641,-0.31081874,0.62784627,20.11082676,0.983625814,2760.356405
220,-1.179383032,-0.588475896,0.633424949,28.38648927,0.896611289,2756.614057
220.5,-0.973567789,-0.85422726,0.574761967,36.65013293,0.906221135,2752.493543
221,-0.758975634,-1.108761755,0.534912755,44.9023705,1.097110881,2749.293003
221.5,-0.478760954,-1.311560768,0.529138344,53.14716941,1.181965638,2747.370924
222,-0.239454811,-1.462417924,0.467103232,61.38715602,1.217965303,2746.008823
222.5,0.033012548,-1.593198095,0.379674772,69.62426995,1.406883073,2745.694325
223,0.35343723,-1.68946687,0.326842183,77.86308409,1.594473737,2747.14195
223.5,0.605803846,-1.731957211,0.221713409,86.10789127,1.569326673,2749.359192
224,0.820267793,-1.733887345,0.104817665,94.35974722,1.700744815,2752.084412
224.5,1.066335007,-1.73651351,-0.004229915,102.621696,1.844216318,2756.107922
225,1.244580359,-1.677569073,-0.108569671,110.8962461,1.664815479,2759.982751
225.5,1.333863494,-1.554976026,-0.225131194,119.1809114,1.695246589,2763.176459
226,1.464430645,-1.426233206,-0.35129311,127.4757751,1.76282088,2766.840393
226.5,1.559753736,-1.267123464,-0.444433617,135.7809304,1.473052551,2769.480987
227,1.564251331,-1.040480539,-0.50661061,144.0906763,1.336685819,2770.136939
227.5,1.585865557,-0.793802187,-0.575042209,152.4014478,1.408308569,2770.488648
228,1.597719757,-0.542396937,-0.627925407,160.7127942,1.162498293,2770.026353
228.5,1.52570324,-0.262426425,-0.620194779,169.0194936,0.95750198,2767.451684
229,1.440696552,0.041748344,-0.61160177,177.3166647,0.986195411,2764.037358
229.5,1.341283005,0.312463384,-0.64808756,185.6036991,0.956899923,2760.604407
230,1.170647611,0.581977561,-0.617009377,193.8797693,0.87769236,2756.649656
230.5,0.980060871,0.864865296,-0.559848091,202.1435433,0.949155798,2752.64119
231,0.743647814,1.111711318,-0.563035992,210.3962597,1.018790817,2749.275974
231.5,0.484682061,1.298884121,-0.51841777,218.6399598,1.114472966,2746.671389
232,0.250337869,1.468352191,-0.441743331,226.8775611,1.292932415,2745.339898
232.5,-0.051714032,1.605386075,-0.405373389,235.1134393,1.422962163,2745.448565
233,-0.347316696,1.686862752,-0.322175589,243.3510959,1.472490992,2746.400646
233.5,-0.582725375,1.71739582,-0.210099374,251.5926716,1.598811625,2748.181069
234,-0.844755139,1.749448057,-0.10797208,259.8419598,1.850504115,2751.73894
234.5,-1.082935034,1.749151137,-0.003692478,268.1036539,1.712142523,2755.845467
235,-1.208094854,1.660662272,0.106916187,276.3761876,1.665984212,2759.107035
235.5,-1.3422966,1.553955744,0.237471695,284.659013,1.862891311,2763.085537
236,-1.494350958,1.438178092,0.353211855,292.9549287,1.710858837,2767.291851
236.5,-1.535670613,1.254247187,0.428473142,301.260636,1.404151124,2769.370039
237,-1.557757333,1.034116046,0.508593419,309.5697952,1.420580915,2770.094519
237.5,-1.611058533,0.801736653,0.586341083,317.8809532,1.350685302,2770.56909
238,-1.583474749,0.548623267,0.617862208,326.1917459,1.107338274,2769.579795
238.5,-1.514917378,0.251505423,0.607670321,334.4970084,1.047879352,2767.166948
239,-1.449888131,-0.043179478,0.645251557,342.794104,0.972500941,2764.110499
239.5,-1.329914699,-0.31091924,0.642971102,351.0808141,0.867580342,2760.196703
240,-1.173441415,-0.588807329,0.597831557,359.3549842,0.912216007,2755.982937
240.5,-0.986700337,-0.872444708,0.586932562,7.617274742,0.991819803,2752.332236
241,-0.73460613,-1.098112723,0.56739617,15.86926281,0.97617917,2748.966724
241.5,-0.509099658,-1.299818923,0.496510613,24.1117458,1.138075255,2746.271922
242,-0.238302422,-1.478887205,0.45243699,32.34876273,1.37770083,2745.445512
242.5,0.0660418,-1.604502175,0.41711363,40.58560061,1.390603345,2745.800842
243,0.321119056,-1.675348697,0.310503533,48.82384483,1.436079891,2746.433218
243.5,0.597402484,-1.719365443,0.209611803,57.06568281,1.706917666,2748.548487
244,0.870409544,-1.765596171,0.115162345,65.31678615,1.786342751,2752.314151
244.5,1.052034594,-1.731764685,0.008770489,73.57926619,1.638373058,2755.778287
245,1.194042043,-1.655097849,-0.119089431,81.85149302,1.791342272,2759.279571
245.5,1.386567693,-1.568470513,-0.24370855,90.13573797,1.805073129,2763.575216
246,1.478886248,-1.4317648,-0.341700153,98.43191797,1.567796999,2766.844522
246.5,1.51252155,-1.249809222,-0.423887357,106.7354288,1.508430506,2768.73753
247,1.585086148,-1.044061753,-0.526199116,115.0439354,1.479576213,2770.222805
247.5,1.611951978,-0.812866391,-0.587824667,123.3554289,1.221538995,2770.371308
248,1.565677119,-0.538908038,-0.598903442,131.6645289,1.130641413,2768.885413
248.5,1.532330958,-0.240399701,-0.62580686,139.968304,1.130064442,2766.96215
249,1.454457918,0.035238748,-0.653931777,148.2653892,0.93744004,2764.126307
249.5,1.328747791,0.30614101,-0.616445501,156.5518138,0.866170568,2760.042425
250,1.179930507,0.596897052,-0.599452293,164.8257877,0.972374016,2756.102483
250.5,0.973833665,0.863768008,-0.609953189,173.0889944,0.990540481,2752.728276
251,0.744677549,1.093090588,-0.546202733,181.3422082,0.986004623,2749.404967
251.5,0.513366817,1.310314557,-0.494505048,189.5862083,1.161104921,2746.865775
252,0.216436577,1.47981892,-0.482059613,197.8249156,1.311307078,2745.839326
252.5,-0.050900905,1.592201907,-0.403496549,206.0621891,1.363330081,2745.757725
253,-0.316079539,1.673282752,-0.296265114,214.3004179,1.515316055,2746.632082
253.5,-0.622200919,1.738330981,-0.223240128,222.5435861,1.705113298,2749.1109
254,-0.85792476,1.756622192,-0.118568612,230.7956703,1.637872685,2752.176708
254.5,-1.025306591,1.71598093,-0.000810898,239.0568028,1.735567004,2755.398962
255,-1.230005964,1.671808633,0.124836867,247.3292072,1.879315408,2759.764349
255.5,-1.392137148,1.578409052,0.236075177,255.6149165,1.630219029,2763.657365
256,-1.443888327,1.422053376,0.328773927,263.9097531,1.577154542,2766.152019
256.5,-1.526555183,1.250370022,0.437210277,272.2121215,1.691258023,2768.939597
257,-1.603641361,1.057056526,0.527048078,280.5226211,1.410079211,2770.957676
257.5,-1.591092216,0.806254182,0.568999583,288.8353906,1.160303515,2770.49874
258,-1.569307975,0.527618213,0.59997037,297.1446888,1.213870747,2769.115004
258.5,-1.543906454,0.249044183,0.645834933,305.4497391,1.088921557,2767.389772
259,-1.442859314,-0.028018176,0.630267398,313.7476703,0.925430139,2764.307455
259.5,-1.333743457,-0.302093313,0.613223653,322.0347046,0.90427751,2760.34589
260,-1.179530474,-0.597455392,0.62776168,330.3096791,0.915086384,2756.317736
260.5,-0.969575837,-0.854925783,0.600110321,338.5726912,0.925029366,2752.369805
261,-0.756497309,-1.106698077,0.527621033,346.8245169,1.050880514,2749.040833
261.5,-0.494249116,-1.318789325,0.516433157,355.0679407,1.14244073,2746.716282
262,-0.221571511,-1.467368968,0.481643385,3.305612378,1.223061365,2745.189548
262.5,0.02904781,-1.588512653,0.380186026,11.54032682,1.410426165,2744.911689
263,0.337256108,-1.68322062,0.312433188,19.77696983,1.626209114,2746.521143
263.5,0.626153214,-1.748145149,0.224121891,28.02035024,1.599806311,2749.027161
264,0.828925253,-1.738458019,0.115235314,36.27113653,1.624373202,2751.536923
264.5,1.038602156,-1.724332751,-0.003888472,44.53104319,1.912120748,2755.518102
265,1.259705748,-1.684496205,-0.119786298,52.80506919,1.796347434,2760.323325
265.5,1.357818253,-1.560754355,-0.224202026,61.09149558,1.589502307,2763.640988
266,1.43834645,-1.415560233,-0.339077537,69.38647001,1.698925191,2766.513547
266.5,1.558274063,-1.259577398,-0.447174479,77.69081002,1.637014502,2769.619266
267,1.585845325,-1.051688317,-0.515509852,86.00248861,1.333321617,2771.027988
267.5,1.575653704,-0.799977456,-0.559952144,94.31526397,1.270118982,2770.72273
268,1.586907447,-0.530858796,-0.621334076,102.6261874,1.198032106,2769.779841
268.5,1.537387774,-0.262653475,-0.639918616,110.93266,0.996961346,2767.55398
269,1.436284578,0.038599791,-0.606181377,119.2304481,0.973274994,2764.26494
269.5,1.344345594,0.312101438,-0.635799256,127.5180144,0.95001969,2760.740562
270,1.177307292,0.586259618,-0.632548706,135.7943318,0.85685243,2756.656515
270.5,0.974817673,0.859212746,-0.570175364,144.0578598,0.933872104,2752.478827
271,0.758000637,1.111190287,-0.541040164,152.3104141,1.119141109,2749.51051
271.5,0.478791415,1.307852946,-0.527557028,160.5557827,1.119788233,2747.402022
272,0.244712644,1.461374607,-0.459437198,168.7953032,1.222598743,2745.770479
272.5,-0.036476573,1.595014436,-0.384477033,177.0320123,1.464506371,2745.745647
273,-0.355320662,1.691267961,-0.327594569,185.2714734,1.584531448,2747.417136
273.5,-0.599780342,1.728948886,-0.220362322,193.5168654,1.537147995,2749.43896
274,-0.821844358,1.734034741,-0.105111717,201.7688044,1.731621336,2752.158015
274.5,-1.075530272,1.73870141,0.001540979,210.0312638,1.844454439,2756.327365
275,-1.236967037,1.673841915,0.106209315,218.30651,1.671995217,2760.238106
275.5,-1.330577359,1.553908454,0.227837985,226.5920569,1.705244274,2763.513296
276,-1.47527482,1.428190211,0.352437572,234.8877706,1.708055558,2766.96937
276.5,-1.554599621,1.266150411,0.439370736,243.1927761,1.467616247,2769.328456
277,-1.558905096,1.040088119,0.504878072,251.5021865,1.374069198,2770.132647
277.5,-1.591103,0.797399618,0.579437858,259.8132297,1.394411516,2770.594508
278,-1.597138726,0.545710197,0.628184182,268.1245929,1.125717126,2769.89581
278.5,-1.522103464,0.259497591,0.61622481,276.4306593,0.97969633,2767.251882
279,-1.445014347,-0.044109949,0.619424634,284.7276155,1.024428979,2764.119266
279.5,-1.342236661,-0.312933754,0.648778334,293.0152452,0.954952535,2760.856976
280,-1.170613031,-0.580195003,0.608727312,301.2919261,0.849653288,2756.763352
280.5,-0.981358293,-0.865779385,0.561947698,309.5558405,0.96218398,2752.68485
281,-0.739723542,-1.108941025,0.567371059,317.8089814,1.055553845,2749.552586
281.5,-0.489030382,-1.297739944,0.513534362,326.0538305,1.108752494,2747.094856
282,-0.250222247,-1.470172164,0.442149986,334.2925921,1.280115034,2745.678726
282.5,0.055879732,-1.604142551,0.411494751,342.529384,1.426172737,2745.743695
283,0.339642519,-1.682919043,0.320403133,350.7679951,1.480512558,2746.749462
283.5,0.581459074,-1.716560364,0.206862725,359.0107483,1.610307336,2748.622753
284,0.850955727,-1.753908107,0.108828792,7.261310588,1.815993856,2752.075002
284.5,1.076961315,-1.746268156,0.006285556,15.52346856,1.664311844,2755.79753
285,1.200386147,-1.657702147,-0.108924263,23.79560061,1.706716897,2759.024902
285.5,1.352046533,-1.559588993,-0.240471961,32.07865176,1.882671628,2763.286062
286,1.493801832,-1.440538041,-0.351330034,40.3749185,1.617317095,2767.14874
286.5,1.528199922,-1.251185835,-0.42548381,48.67933094,1.406310713,2768.798164
287,1.562828023,-1.03341889,-0.512325957,56.98714052,1.495637886,2769.880623
287.5,1.613711605,-0.806297744,-0.587482956,65.29832508,1.343702106,2770.673488
288,1.579883927,-0.547654063,-0.613204011,73.60923274,1.078486948,2769.517646
288.5,1.5157066,-0.24904169,-0.606629784,81.91402854,1.045773575,2766.959388
289,1.450798167,0.041578053,-0.649540261,90.21052206,0.981519067,2763.934119
289.5,1.327247152,0.30998655,-0.6366295,98.49690589,0.893154991,2760.181479
290,1.175325526,0.589097515,-0.594671878,106.7712409,0.906057623,2756.058811
290.5,0.984348137,0.871909664,-0.595657418,115.0334497,0.937803986,2752.12713
291,0.735960632,1.096137656,-0.56606605,123.2843189,0.976865477,2748.510708
291.5,0.512249535,1.303396089,-0.4930874,131.5255646,1.16548628,2745.944911
292,0.232351813,1.4805051,-0.459025141,139.7617277,1.350503412,2745.118402
292.5,-0.065071312,1.601079033,-0.414779846,147.9972304,1.369672944,2745.247228
293,-0.316684788,1.672693004,-0.305745241,156.2337828,1.472180476,2745.947779
293.5,-0.603388461,1.723331041,-0.211724977,164.4747417,1.7588532,2748.472979
294,-0.872645995,1.769107821,-0.114525767,172.7259,1.742591763,2752.277467
294.5,-1.04294454,1.726540766,-0.008217904,180.9877904,1.623194923,2755.465873
295,-1.198950964,1.656339274,0.121010917,189.259198,1.847519941,2759.157079
295.5,-1.39337514,1.572713977,0.244206524,197.5436643,1.818811713,2763.779664
296,-1.471508018,1.427534087,0.339165369,205.8404524,1.538711665,2766.978696
296.5,-1.511977822,1.247800387,0.425713156,214.1441474,1.519684669,2768.7887
297,-1.591443035,1.044127893,0.526078172,222.4529474,1.487020213,2770.361482
297.5,-1.606712045,0.812423582,0.583814646,230.7649644,1.22939985,2770.582327
298,-1.563004674,0.537792451,0.595693685,239.0748952,1.156886467,2769.256988
298.5,-1.533940474,0.241699545,0.633051687,247.3798842,1.098255225,2767.309556
299,-1.450862503,-0.034677513,0.652017832,255.6775373,0.899089994,2764.146899
299.5,-1.330763663,-0.305814314,0.614726004,263.9637911,0.893263936,2760.009769
