Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.318,-2.348512855,1.29981094,1.048701915,247.6186632,1.39985014,2805.04933
0.3185,-2.338103258,0.971754925,1.366348333,256.0350568,1.381480458,2805.847792
0.319,-2.268014451,0.641135826,1.626878624,264.4534144,1.336592772,2806.310733
0.3195,-2.143232589,0.26900575,1.874226839,272.8729499,1.386574079,2806.802384
0.32,-1.967875085,-0.118958323,2.086833408,281.2944338,1.374353711,2807.499128
0.3205,-1.743505538,-0.477888169,2.221393707,289.7177427,1.348266587,2807.993845
0.321,-1.478803811,-0.82418862,2.302992431,298.1423562,1.366447807,2808.447918
0.3215,-1.172178226,-1.164352762,2.336530988,306.5687809,1.413206574,2809.252695
0.322,-0.852293326,-1.460895223,2.31318855,314.997881,1.367207951,2810.066054
0.3225,-0.506947485,-1.706787483,2.213734968,323.428892,1.3593905,2810.594184
0.323,-0.134627128,-1.949422407,2.084049535,331.8616222,1.399676498,2811.298431
0.3235,0.247000771,-2.136700651,1.88969988,340.2967472,1.370754303,2812.067329
0.324,0.599478074,-2.238502421,1.639024347,348.7337877,1.354575808,2812.597719
0.3245,0.942535553,-2.306751649,1.364216095,357.1724241,1.387270294,2813.218678
0.325,1.272138195,-2.321593655,1.04945546,5.613429775,1.415466751,2814.169656
0.3255,1.548603736,-2.286922986,0.73831925,14.05727907,1.355972304,2814.957675
0.326,1.785498925,-2.163704162,0.378205237,22.50298635,1.379578704,2815.556215
0.3265,2.013927427,-2.016797331,0.002869904,30.9508568,1.400320251,2816.395193
0.327,2.177325489,-1.807171647,-0.370153842,39.40126468,1.361475322,2817.141341
0.3275,2.254521653,-1.539713443,-0.714808211,47.85350015,1.361606015,2817.682796
0.328,2.311225239,-1.255667781,-1.055557457,56.30758899,1.403475275,2818.451784
0.3285,2.304040674,-0.934416294,-1.36962438,64.76443692,1.402956352,2819.446837
0.329,2.251221042,-0.620203394,-1.631017648,73.22399385,1.351106597,2820.165732
0.3295,2.118287504,-0.257713009,-1.860574496,81.68533529,1.384581283,2820.788602
0.33,1.945110934,0.124382691,-2.069493625,90.14895346,1.393078776,2821.639468
0.3305,1.721133165,0.486420795,-2.20755396,98.61499061,1.349965059,2822.308843
0.331,1.447150095,0.824428999,-2.271579094,107.0826627,1.365811199,2822.834428
0.3315,1.150525099,1.161204078,-2.311729177,115.552296,1.40523639,2823.658868
0.332,0.831147622,1.459822182,-2.290969804,124.0247069,1.381934992,2824.574311
0.3325,0.502072665,1.706465386,-2.208538051,132.4994278,1.34594025,2825.17571
0.333,0.138836081,1.929282993,-2.068119074,140.975759,1.381145433,2825.774886
0.3335,-0.243281186,2.119376357,-1.876095171,149.4542622,1.37989313,2826.559092
0.334,-0.595489214,2.232862952,-1.637373738,157.9348887,1.338530784,2827.11844
